Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Sat Oct 26 18:09:43 EDT 2024,README.md,1729980583704,2362,2362,(R)6(I)18(R)1,72.0,0.0,0.0,0.0,28.000000000000004,0.0,12.5,0.0,0.0,0.0,0.0,3.5,9.0,0.0,[]
,/modelData/A0UserStudy2010.arff,Sat Oct 26 18:09:43 EDT 2024,README.md, 1729980583704
2,,Sat Oct 26 18:09:46 EDT 2024,README.md,1729980586564,16833,0,(R)20(I)4,16.666666666666664,0.0,0.0,0.0,83.33333333333334,0.0,1.5,0.0,0.0,0.0,0.0,1.25,0.25,0.0,[]
3,,Sat Oct 26 18:10:06 EDT 2024,README.md,1729980606940,2219,2219,(I)20(R)5,80.0,0.0,0.0,0.0,20.0,0.0,12.5,0.0,0.0,0.0,0.0,2.5,10.0,0.0,[]
4,,Sat Oct 26 18:10:09 EDT 2024,README.md,1729980609270,2698,2698,(R)1(I)5(R)4(I)14,79.16666666666666,0.0,0.0,0.0,20.833333333333336,0.0,12.0,0.0,0.0,0.0,0.0,2.5,9.5,0.0,[]
5,,Sat Oct 26 18:10:12 EDT 2024,README.md,1729980612512,26963,0,(I)3(R)2(I)1(R)1(I)16,86.95652173913044,0.0,0.0,0.0,13.043478260869565,0.0,0.8846153846153846,0.0,0.0,0.0,0.0,0.11538461538461539,0.7692307692307693,0.0,[]
6,,Sat Oct 26 18:10:39 EDT 2024,README.md,1729980639551,6245,6245,(I)12(R)2(I)7(R)1(I)1,86.95652173913044,0.0,0.0,0.0,13.043478260869565,0.0,3.8333333333333335,0.0,0.0,0.0,0.0,0.5,3.3333333333333335,0.0,[]
7,,Sat Oct 26 18:10:45 EDT 2024,README.md,1729980645855,11397,0,(I)10(R)4(I)6,80.0,0.0,0.0,0.0,20.0,0.0,1.8181818181818181,0.0,0.0,0.0,0.0,0.36363636363636365,1.4545454545454546,0.0,[]
8,,Sat Oct 26 18:10:57 EDT 2024,README.md,1729980657316,17755,0,(I)8(R)2(I)13,91.30434782608695,0.0,0.0,0.0,8.695652173913043,0.0,1.3529411764705883,0.0,0.0,0.0,0.0,0.11764705882352941,1.2352941176470589,0.0,[]
9,,Sat Oct 26 18:11:15 EDT 2024,README.md,1729980675465,3475,3475,(R)4(I)21,84.0,0.0,0.0,0.0,16.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,1.3333333333333333,7.0,0.0,[]
10,,Sat Oct 26 18:11:19 EDT 2024,README.md,1729980679015,123358,0,(I)3(F)6(I)2(F)8(I)2(F)1,31.818181818181817,0.0,0.0,68.18181818181817,0.0,0.0,0.17886178861788618,0.0,0.0,0.12195121951219512,0.0,0.0,0.056910569105691054,0.0,[]
44,,Sat Oct 26 18:47:09 EDT 2024,AVisualStudioLogWriter.java,1729982829832,121462,0,(I)6(F)4(I)1(F)4(I)2,52.94117647058824,0.0,0.0,47.05882352941176,0.0,0.0,0.14049586776859505,0.0,0.0,0.06611570247933884,0.0,0.0,0.0743801652892562,0.0,[]
