Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Sat Oct 26 17:57:46 EDT 2024,README.md,1729979866259,50472,0,(I)5(F)4(I)1(F)2(I)4,62.5,0.0,0.0,37.5,0.0,0.0,0.32,0.0,0.0,0.12,0.0,0.0,0.2,0.0,[]
,/modelData/A0UserStudy2010.arff,Sat Oct 26 17:57:46 EDT 2024,README.md, 1729979866259
2,,Sat Oct 26 17:58:37 EDT 2024,README.md,1729979917446,38119,0,(I)2(R)2(I)13,88.23529411764706,0.0,0.0,0.0,11.76470588235294,0.0,0.4473684210526316,0.0,0.0,0.0,0.0,0.05263157894736842,0.39473684210526316,0.0,[]
3,,Sat Oct 26 17:59:16 EDT 2024,EclipseCommandGeneration.java,1729979956303,1270,1270,(I)16(R)2(I)6,91.66666666666666,0.0,0.0,0.0,8.333333333333332,0.0,24.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,[]
4,,Sat Oct 26 17:59:17 EDT 2024,README.md,1729979957708,19696,0,(I)12(R)1(I)2(R)1(I)5,90.47619047619048,0.0,0.0,0.0,9.523809523809524,0.0,1.105263157894737,0.0,0.0,0.0,0.0,0.10526315789473684,1.0,0.0,[]
5,,Sat Oct 26 17:59:37 EDT 2024,README.md,1729979977471,169143,0,(I)2(F)4(I)1(F)4(I)5(F)2(I)4,54.54545454545454,0.0,0.0,45.45454545454545,0.0,0.0,0.1301775147928994,0.0,0.0,0.05917159763313609,0.0,0.0,0.07100591715976332,0.0,[]
6,,Sat Oct 26 18:02:26 EDT 2024,README.md,1729980146682,21875,0,(I)14(F)2(I)6(F)1,86.95652173913044,0.0,0.0,13.043478260869565,0.0,0.0,1.0952380952380953,0.0,0.0,0.14285714285714285,0.0,0.0,0.9523809523809523,0.0,[]
7,,Sat Oct 26 18:02:52 EDT 2024,README.md,1729980172784,8919,8919,(F)3(I)9(R)1(I)12,84.0,0.0,0.0,12.0,4.0,0.0,3.125,0.0,0.0,0.375,0.0,0.125,2.625,0.0,[]
8,,Sat Oct 26 18:03:01 EDT 2024,README.md,1729980181765,1984,1984,(I)25,100.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,[]
9,,Sat Oct 26 18:03:03 EDT 2024,README.md,1729980183836,31963,0,(I)13(F)2(I)1(F)2(I)3,80.95238095238095,0.0,0.0,19.047619047619047,0.0,0.0,0.6774193548387096,0.0,0.0,0.12903225806451613,0.0,0.0,0.5483870967741935,0.0,[]
10,,Sat Oct 26 18:03:35 EDT 2024,README.md,1729980215968,2062,2062,(I)25,100.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,[]
11,,Sat Oct 26 18:03:38 EDT 2024,README.md,1729980218086,20780,0,(I)11(F)4(I)6,80.95238095238095,0.0,0.0,19.047619047619047,0.0,0.0,1.05,0.0,0.0,0.2,0.0,0.0,0.85,0.0,[]
12,,Sat Oct 26 18:04:00 EDT 2024,README.md,1729980240345,26141,0,(I)6(F)4(I)7,76.47058823529412,0.0,0.0,23.52941176470588,0.0,0.0,0.6538461538461539,0.0,0.0,0.15384615384615385,0.0,0.0,0.5,0.0,[]
13,,Sat Oct 26 18:04:26 EDT 2024,README.md,1729980266604,31842,0,(I)5(F)2(I)1(R)1(I)1(R)2(I)1(R)2(I)3,61.111111111111114,0.0,0.0,11.11111111111111,27.77777777777778,0.0,0.5806451612903226,0.0,0.0,0.06451612903225806,0.0,0.16129032258064516,0.3548387096774194,0.0,[]
14,,Sat Oct 26 18:04:58 EDT 2024,README.md,1729980298514,4096,4096,(I)20,100.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,[]
15,,Sat Oct 26 18:05:02 EDT 2024,README.md,1729980302919,17938,0,(I)2(R)1(I)1(R)1(I)2(R)1(I)1,66.66666666666666,0.0,0.0,0.0,33.33333333333333,0.0,0.5294117647058824,0.0,0.0,0.0,0.0,0.17647058823529413,0.35294117647058826,0.0,[]
